date,contract_month,strike,underlying,market_price,theo_price,iv_real,option_type,product_code
2025-03-26,20250328,33750.0,38027.29,0.0,3972.22,0.766139,CALL,NK225MWE  
2025-03-26,20250328,33875.0,38027.29,0.0,3847.21,0.744497,CALL,NK225MWE  
2025-03-26,20250328,34000.0,38027.29,0.0,3722.21,0.722857,CALL,NK225MWE  
2025-03-26,20250328,34125.0,38027.29,0.0,3597.23,0.701216,CALL,NK225MWE  
2025-03-26,20250328,34250.0,38027.29,0.0,3472.25,0.67957,CALL,NK225MWE  
2025-03-26,20250328,34375.0,38027.29,0.0,3347.09,0.657915,CALL,NK225MWE  
2025-03-26,20250328,34500.0,38027.29,0.0,3221.94,0.605283,CALL,NK225MWE  
2025-03-26,20250328,34625.0,38027.29,0.0,3096.97,0.584392,CALL,NK225MWE  
2025-03-26,20250328,34750.0,38027.29,0.0,2972.0,0.563483,CALL,NK225MWE  
2025-03-26,20250328,34875.0,38027.29,0.0,2847.24,0.571109,CALL,NK225MWE  
2025-03-26,20250328,35000.0,38027.29,0.0,2721.79,0.521591,CALL,NK225MWE  
2025-03-26,20250328,35125.0,38027.29,0.0,2596.95,0.500596,CALL,NK225MWE  
2025-03-26,20250328,35250.0,38027.29,0.0,2471.99,0.479559,CALL,NK225MWE  
2025-03-26,20250328,35375.0,38027.29,0.0,2347.35,0.483729,CALL,NK225MWE  
2025-03-26,20250328,35500.0,38027.29,0.0,2222.85,0.437331,CALL,NK225MWE  
2025-03-26,20250328,35625.0,38027.29,0.0,2097.87,0.439671,CALL,NK225MWE  
2025-03-26,20250328,35750.0,38027.29,0.0,1972.89,0.394833,CALL,NK225MWE  
2025-03-26,20250328,35875.0,38027.29,0.0,1847.92,0.395256,CALL,NK225MWE  
2025-03-26,20250328,36000.0,38027.29,0.0,1723.5,0.372879,CALL,NK225MWE  
2025-03-26,20250328,36125.0,38027.29,0.0,1599.79,0.350366,CALL,NK225MWE  
2025-03-26,20250328,36250.0,38027.29,0.0,1475.45,0.327695,CALL,NK225MWE  
2025-03-26,20250328,36375.0,38027.29,0.0,1351.72,0.30484,CALL,NK225MWE  
2025-03-26,20250328,36500.0,38027.29,0.0,1228.03,0.281771,CALL,NK225MWE  
2025-03-26,20250328,36625.0,38027.29,0.0,1105.56,0.272495,CALL,NK225MWE  
2025-03-26,20250328,36750.0,38027.29,0.0,984.32,0.259923,CALL,NK225MWE  
2025-03-26,20250328,36875.0,38027.29,0.0,865.5,0.244585,CALL,NK225MWE  
2025-03-26,20250328,37000.0,38027.29,720.0,748.49,0.235309,CALL,NK225MWE  
2025-03-26,20250328,37125.0,38027.29,800.0,635.61,0.221473,CALL,NK225MWE  
2025-03-26,20250328,37250.0,38027.29,440.0,527.38,0.20991,CALL,NK225MWE  
2025-03-26,20250328,37375.0,38027.29,400.0,424.89,0.198428,CALL,NK225MWE  
2025-03-26,20250328,37500.0,38027.29,365.0,334.71,0.190271,CALL,NK225MWE  
2025-03-26,20250328,37625.0,38027.29,300.0,249.12,0.191941,CALL,NK225MWE  
2025-03-26,20250328,37750.0,38027.29,190.0,190.0,0.18319,CALL,NK225MWE  
2025-03-26,20250328,37875.0,38027.29,135.0,130.01,0.176948,CALL,NK225MWE  
2025-03-26,20250328,38000.0,38027.29,87.0,86.99,0.174988,CALL,NK225MWE  
2025-03-26,20250328,38125.0,38027.29,59.0,56.4,0.179012,CALL,NK225MWE  
2025-03-26,20250328,38250.0,38027.29,37.0,36.99,0.177408,CALL,NK225MWE  
2025-03-26,20250328,38375.0,38027.29,23.0,21.61,0.178811,CALL,NK225MWE  
2025-03-26,20250328,38500.0,38027.29,14.0,14.0,0.180675,CALL,NK225MWE  
2025-03-26,20250328,38625.0,38027.29,9.0,9.0,0.1854,CALL,NK225MWE  
2025-03-26,20250328,38750.0,38027.29,5.0,5.0,0.185742,CALL,NK225MWE  
2025-03-26,20250328,38875.0,38027.29,3.0,3.0,0.18915,CALL,NK225MWE  
2025-03-26,20250328,39000.0,38027.29,2.0,1.79,0.192773,CALL,NK225MWE  
2025-03-26,20250328,39125.0,38027.29,1.0,1.0,0.194843,CALL,NK225MWE  
2025-03-26,20250328,39250.0,38027.29,1.0,1.0,0.20985,CALL,NK225MWE  
2025-03-26,20250328,39375.0,38027.29,1.0,1.01,0.224698,CALL,NK225MWE  
2025-03-26,20250328,39500.0,38027.29,1.0,1.05,0.239397,CALL,NK225MWE  
2025-03-26,20250328,39625.0,38027.29,0.0,0.59,0.240716,CALL,NK225MWE  
2025-03-26,20250328,39750.0,38027.29,0.0,0.32,0.240716,CALL,NK225MWE  
2025-03-26,20250328,39875.0,38027.29,0.0,0.17,0.240716,CALL,NK225MWE  
