,Ticker,DCF_Value,Market_Cap,Current_Price,DCF_MarketCap_Ratio,Theoretical_Price,Symbol,Security,GICS Sector,GICS Sub-Industry
0,NCLH,5146208224668.416,8031102756.25,18.13,640.7847565720052,11617.427636650455,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
1,CCL,4709663358701.276,29398608136.800003,23.28,160.20021549271607,3729.46101667043,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
2,RCL,4694106569904.259,67475932227.950005,262.37,69.56712437919987,18252.32642337067,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
3,WBD,718451756217.7465,23702893869.46,10.58,30.31071902757983,320.6874073117946,WBD,Warner Bros. Discovery,Communication Services,Broadcasting
4,APO,980684070082.539,59096075593.200005,132.36,16.594741025331015,2196.4799221128133,APO,Apollo Global Management,Financials,Asset Management & Custody Banks
5,EG,144999727735.28818,10711650574.74,333.02,13.536637208575833,4507.970923199923,EG,Everest Group,Financials,Reinsurance
6,SYF,307089137768.67664,22834338454.84,60.28,13.448567313478948,810.6796376565111,SYF,Synchrony Financial,Financials,Consumer Finance
7,LVS,182289825755.80908,14587268471.0,41.75,12.496501734934654,521.7289474335219,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
8,UAL,247077902299.18823,23865050766.690002,73.67,10.353127035625286,762.714868714515,UAL,United Airlines Holdings,Industrials,Passenger Airlines
9,ACGL,279964667308.2322,32485860813.000004,90.15,8.618046753318525,776.9169148116652,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance
10,LYV,186855693569.4275,22702731412.170002,145.59,8.230537999020763,1198.2840272774329,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
11,AVGO,816628956116.5728,101157661179.3,249.37,8.072833501647628,2013.122490305869,AVGO,Broadcom,Information Technology,Semiconductors
12,KKR,620343938808.5875,82640567036.58,121.06,7.506530521916659,908.7405849832307,KKR,KKR & Co.,Financials,Asset Management & Custody Banks
13,WYNN,47794731681.7729,6979660979.04,87.28,6.8477153582818735,597.6685964708419,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
14,MGM,46407131145.21352,6856511901.12,33.57,6.768329409248599,227.21281826847547,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
15,MET,264063555090.66046,43581628578.6,77.85,6.05905661864881,471.6975577618099,MET,MetLife,Financials,Life & Health Insurance
16,PFG,90978994754.80226,16880312987.599998,75.8,5.389650939626176,408.53554122366404,PFG,Principal Financial Group,Financials,Life & Health Insurance
17,COF,385007216576.1489,71838769925.76,193.92,5.359323621131391,1039.2800366097993,COF,Capital One,Financials,Consumer Finance
18,DVA,26447480653.56779,5198704187.049999,136.51,5.087321705945226,694.4702860785827,DVA,DaVita,Health Care,Health Care Services
19,VICI,170892007315.90036,34023676726.4,32.32,5.022737803739479,162.33488581685995,VICI,Vici Properties,Real Estate,Hotel & Resort REITs
20,DAL,150200931358.89493,30540945384.04,47.32,4.918018400222362,232.72063069852217,DAL,Delta Air Lines,Industrials,Passenger Airlines
21,O,240678759204.90738,51841968283.82,57.53,4.642546708243402,267.0857121252429,O,Realty Income,Real Estate,Retail REITs
22,HST,46497039163.22137,10084802380.74,15.57,4.610604889196601,71.78711812479108,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
23,WRB,97089982448.38025,21630464661.0,72.89,4.4885759030149135,327.17229757075705,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
24,NVDA,15146389379785.287,3375269070240.0,144.12,4.487461314812539,646.7329246907832,NVDA,Nvidia,Information Technology,Semiconductors
25,F,166602795973.04352,40317705423.94,10.42,4.132248951700447,43.05803407671866,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
26,PRU,143503967230.4776,36466835781.6,103.39,3.9351910895127653,406.8594067447248,PRU,Prudential Financial,Financials,Life & Health Insurance
27,CB,409340553923.6853,105431921647.8,283.8,3.882510605195128,1101.8565097543774,CB,Chubb Limited,Financials,Property & Casualty Insurance
28,EXPE,75331557196.73727,19456647896.210003,161.99,3.8717644271812746,627.1871195590948,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
29,CTRA,75684049717.38095,20048338293.25,26.69,3.775078443427041,100.75684365506773,CTRA,Coterra,Energy,Oil & Gas Exploration & Production
30,ARE,41161455960.62746,10975633578.96,71.22,3.75025784748617,267.093363897965,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
31,MTB,106265482028.82416,28475117734.86,178.33,3.731871559524093,665.5046552099316,MTB,M&T Bank,Financials,Regional Banks
32,ALL,194063258118.49536,52127813696.86,198.19,3.7228351690910273,737.8287021621506,ALL,Allstate,Financials,Property & Casualty Insurance
33,TRV,218016016017.77234,59594937060.83,264.41,3.6582976133566194,967.2904719476237,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance
34,HAL,71822606923.68448,19654250546.58,23.01,3.654304027185722,84.08553566554347,HAL,Halliburton,Energy,Oil & Gas Equipment & Services
35,TKO,39657169805.64902,11236194462.480001,167.96,3.5294129109346217,592.8001925205791,TKO,TKO Group Holdings,Communication Services,Movies & Entertainment
